date,event_tier,format,discipline,balls_per_rack,race_to,player_i,player_j,R_i_pre,R_j_pre,E_i,E_j,S_i_rackshare,S_star_used,G_race,M_margin,K_i,K_j,dR_i,dR_j,R_i_post,R_j_post,racks_i,racks_j,balls_i,balls_j,field_avg
2025-08-01,major,alternate,9-ball,9,9,John Smith,Emma Johnson,1500.0,1500.0,0.5,0.5,0.6429,0.6286,1.2472,0.8047,62.4,62.4,8.052,-8.052,1508.05,1491.95,9,5,78,48,2050.0
2025-08-01,major,alternate,9-ball,9,9,Michael Brown,Sarah Davis,1500.0,1500.0,0.5,0.5,0.5625,0.5569,1.3333,0.5493,62.4,62.4,2.599,-2.599,1502.6,1497.4,9,7,90,72,2050.0
2025-08-02,major,winner,9-ball,9,9,Emma Johnson,Michael Brown,1491.95,1502.6,0.5063,0.4937,0.5294,0.5264,1.3744,0.336,62.4,62.4,0.58,-0.58,1492.53,1502.02,9,8,85,78,2050.0
2025-08-02,major,alternate,9-ball,9,9,John Smith,Sarah Davis,1508.05,1497.4,0.5153,0.4847,0.6,0.5903,1.291,0.6719,62.4,62.4,4.06,-4.06,1512.11,1493.34,9,6,82,58,2050.0
2025-08-03,major,alternate,9-ball,9,9,Sarah Davis,Emma Johnson,1493.34,1492.53,0.5012,0.4988,0.6923,0.6763,1.2019,0.8938,62.4,62.4,11.738,-11.738,1505.08,1480.79,9,4,88,38,2050.0
2025-08-03,major,winner,9-ball,9,9,Michael Brown,John Smith,1502.02,1512.11,0.5071,0.4929,0.4706,0.473,1.3744,0.3365,62.4,62.4,-0.982,0.982,1501.04,1513.09,8,9,75,85,2050.0
2025-08-04,regional,alternate,9-ball,9,9,David Wilson,Player 15,1500.0,1500.0,0.5,0.5,0.5625,0.5567,1.3333,0.5493,54.6,54.6,2.266,-2.266,1502.27,1497.73,9,7,85,68,1850.0
2025-08-04,regional,winner,9-ball,9,9,Player 15,David Wilson,1497.73,1502.27,0.5151,0.4849,0.4706,0.4725,1.3744,0.3421,54.6,54.6,-1.094,1.094,1496.64,1503.36,8,9,72,85,1850.0
2025-08-05,regional,alternate,9-ball,9,9,Player 22,Player 33,1500.0,1500.0,0.5,0.5,0.6,0.5901,1.291,0.6931,54.6,54.6,4.403,-4.403,1504.4,1495.6,9,6,81,58,1750.0
2025-08-05,regional,winner,9-ball,9,9,Player 33,Player 22,1495.6,1504.4,0.5089,0.4911,0.5294,0.5275,1.3744,0.3378,54.6,54.6,0.472,-0.472,1496.07,1503.93,9,8,88,75,1750.0
